dataset,var,url
SST_baseline,average_sea_water_temperature_biooracle_baseline,https://s3.waw3-1.cloudferro.com/emodnet/emodnet_arco/bio_oracle/sea_water_temperature/sea_water_temperature_bio_oracle_baseline_2000_2019/climatologydecadedepthsurf.zarr
SST_SSP245,average_sea_water_temperature_biooracle_ssp245,https://s3.waw3-1.cloudferro.com/emodnet/emodnet_arco/bio_oracle/sea_water_temperature/sea_water_temperature_bio_oracle_scenario_ssp245_2020_2100/climatologyDecadeDepthSurf.zarr
SST_SSP119,average_sea_water_temperature_biooracle_ssp119,https://s3.waw3-1.cloudferro.com/emodnet/emodnet_arco/bio_oracle/sea_water_temperature/sea_water_temperature_bio_oracle_scenario_ssp119_2020_2100/climatologydecadedepthsurf.zarr
SST_SSP585,average_sea_water_temperature_biooracle_ssp585,https://s3.waw3-1.cloudferro.com/emodnet/emodnet_arco/bio_oracle/sea_water_temperature/sea_water_temperature_bio_oracle_scenario_ssp585_2020_2100/climatologydecadedepthsurf.zarr
SST_SSP460,average_sea_water_temperature_biooracle_ssp460,https://s3.waw3-1.cloudferro.com/emodnet/emodnet_arco/bio_oracle/sea_water_temperature/sea_water_temperature_bio_oracle_scenario_ssp460_2020_2100/climatologydecadedepthsurf.zarr
SST_SSP126,average_sea_water_temperature_biooracle_ssp126,https://s3.waw3-1.cloudferro.com/emodnet/emodnet_arco/bio_oracle/sea_water_temperature/sea_water_temperature_bio_oracle_scenario_ssp126_2020_2100/climatologydecadedepthsurf.zarr
SALINITY_baseline,average_sea_water_practical_salinity_biooracle_baseline,https://s3.waw3-1.cloudferro.com/emodnet/emodnet_arco/bio_oracle/sea_water_practical_salinity/sea_water_practical_salinity_bio_oracle_baseline_2000_2019/climatologyDecadeDepthSurf.zarr
SALINITY_SSP245,average_sea_water_practical_salinity_biooracle_scenario_ssp245,https://s3.waw3-1.cloudferro.com/emodnet/emodnet_arco/bio_oracle/sea_water_practical_salinity/sea_water_practical_salinity_bio_oracle_scenario_ssp245_2020_2100/climatologyDecadeDepthSurf.zarr
SALINITY_SSP119,average_sea_water_practical_salinity_biooracle_scenario_ssp119,https://s3.waw3-1.cloudferro.com/emodnet/emodnet_arco/bio_oracle/sea_water_practical_salinity/sea_water_practical_salinity_bio_oracle_scenario_ssp119_2020_2100/climatologyDecadeDepthSurf.zarr
SALINITY_SSP585,average_sea_water_practical_salinity_biooracle_scenario_ssp585,https://s3.waw3-1.cloudferro.com/emodnet/emodnet_arco/bio_oracle/sea_water_practical_salinity/sea_water_practical_salinity_bio_oracle_scenario_ssp585_2020_2100/climatologyDecadeDepthSurf.zarr
SALINITY_SSP460,average_sea_water_practical_salinity_biooracle_scenario_ssp460,https://s3.waw3-1.cloudferro.com/emodnet/emodnet_arco/bio_oracle/sea_water_practical_salinity/sea_water_practical_salinity_bio_oracle_scenario_ssp460_2020_2100/climatologyDecadeDepthSurf.zarr
SALINITY_SSP126,average_sea_water_practical_salinity_biooracle_scenario_ssp126,https://s3.waw3-1.cloudferro.com/emodnet/emodnet_arco/bio_oracle/sea_water_practical_salinity/sea_water_practical_salinity_bio_oracle_scenario_ssp126_2020_2100/climatologyDecadeDepthSurf.zarr

